,job_title,company_name,job_type,work_mode
323,Pricing Specialist – Freight Forwarding,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
324,HR Assistant,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
325,Eagle Data Management - Eagle Performance/Datamanage Support,"Riyadh, Saudi Arabia",Full Time,N/A
326,Data Analytical Officer,"Dubai, United Arab Emirates",Full Time,N/A
327,Data Scientist - OSOS,"Riyadh, Saudi Arabia",Full Time,On-site
328,Education Program Officer,"Mokattam, Cairo, Egypt",Full Time,On-site
329,Sales Manager,"Mohandessin, Giza, Egypt",Full Time,On-site
330,Plasma Inventory Control Analyst,"Zaytoun, Cairo, Egypt",Full Time,On-site
331,Manager - Data Science - Abu Dhabi Commercial Bank,"Dubai, United Arab Emirates",Full Time,N/A
332,Logistic Specialist,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
333,Data Centre Logistics Technician,"Dubai, United Arab Emirates",Full Time,N/A
334,Planning Senior Specialist,"6th of October, Giza, Egypt",Full Time,On-site
335,Digital Marketing Manager,"Nasr City, Cairo, Egypt",Full Time,On-site
336,Senior Performance Media Buyer,"New Capital, Cairo, Egypt",Full Time,On-site
337,Data Center Technician,"Riyadh, Saudi Arabia",Full Time,On-site
338,Data Analyst,"Dubai, United Arab Emirates",Full Time,N/A
339,Junior Accountant,"Basatin, Cairo, Egypt",Full Time,On-site
340,Purchasing Coordinator,"6th of October, Giza, Egypt",Full Time,On-site
341,E-Commerce Manager,"Heliopolis, Cairo, Egypt",Full Time,On-site
342,"Data Scientist II - QuantumBlack, AI by McKinsey","Riyadh, Saudi Arabia",Full Time,N/A
343,"Data Analyst, People Tech","Dubai, United Arab Emirates",Full Time,N/A
344,Assistant Manager Business Development (female),"Imbaba, Giza, Egypt",Full Time,On-site
345,Data Engineer,"Riyadh, Saudi Arabia",Full Time,N/A
346,Lead Generation Assistant,"Hurghada, Red Sea, Egypt",Internship,Remote
347,Data Engineering Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
348,Call Center Agent,"Nasr City, Cairo, Egypt",Full Time,On-site
349,Internship program (Accounting & Finance),"6th of October, Giza, Egypt",Full Time,On-site
350,Shipping Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
351,Shipping Coordinator,"Nasr City, Cairo, Egypt",Full Time,On-site
352,Master Data Officer,"Riyadh, Saudi Arabia",Full Time,N/A
353,Accountant,"Nasr City, Cairo, Egypt",Full Time,On-site
354,Data Privacy Operations Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
355,Internship - Data & AI,"Riyadh, Saudi Arabia",Full Time,On-site
356,Data Analyst,"Dubai, United Arab Emirates",Freelance / Project,N/A
357,Data Entry ( Riyadh ),"Riyadh, Saudi Arabia",Full Time,N/A
